Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,23.37
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,38.57
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,47.31
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,52.92
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,63.32
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,68.68
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,77.9
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,89.5
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,87.7
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,22.44
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,34.44
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,43.3
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,46.21
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,54
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,58.94
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,65.3
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,78.5
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,76.34
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,46.64
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,52.52
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,56.62
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,63.24
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,71.12
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,78.09
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,84
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,93
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,92.72
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,41.99
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,46.91
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,50.98
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,54.45
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,60.09
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,65.29
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,70.4
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,82.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,80.92
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,38.57
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,47.31
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,51.97
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,59.61
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,65.01
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,74.61
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,77.9
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,89.5
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,90.71
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,34.44
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,43.3
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,48.02
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,52.33
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,56.6
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,62.95
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,65.3
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,78.5
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,79.11
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,47.31
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,51.97
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,55.09
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,60.54
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,70.6
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,74.61
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,86.73
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,93
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,92.98
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,43.3
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,48.02
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,50.29
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,53.76
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,60.09
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,62.95
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,70.8
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,82.1
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,80.83
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,51.97
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,55.09
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,55.09
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,65.72
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,70.6
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,83.26
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,89.7
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,93
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,94.33
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,48.02
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,50.29
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,50.29
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,56.61
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,60.09
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,68.54
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,70.8
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,82.1
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,82.1
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,55.09
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,55.09
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,59.78
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,65.72
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,79.02
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,85.69
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,87.7
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,95.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,94.33
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,50.29
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,50.29
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,52.37
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,56.61
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,65.79
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,68.54
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,73.2
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,84.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,82.1
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,55.09
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,59.78
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,59.78
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,73.86
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,80.8
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,85.66
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,87.7
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,95.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,95.53
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,50.29
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,52.37
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,52.37
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,62.43
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,65.79
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,71.19
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,73.2
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,84.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,83.29
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,59.78
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,59.78
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,67.58
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,74.84
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,83.28
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,85.75
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,91.8
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,97.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,95.53
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,52.37
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,52.37
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,58.35
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,62.43
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,68.65
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,71.37
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,76
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,86.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,83.29
Bangladesh,BGD,2010,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,59.78
Bangladesh,BGD,2005,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,67.58
Bangladesh,BGD,2000,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,67.58
Bangladesh,BGD,1995,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,80.38
Bangladesh,BGD,1990,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,83.47
Bangladesh,BGD,1985,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,82.45
Bangladesh,BGD,1980,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,91.8
Bangladesh,BGD,1975,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,97.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,96.07
Bangladesh,BGD,2010,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,52.37
Bangladesh,BGD,2005,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,58.35
Bangladesh,BGD,2000,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,58.35
Bangladesh,BGD,1995,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,65.56
Bangladesh,BGD,1990,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,69.04
Bangladesh,BGD,1985,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,68.85
Bangladesh,BGD,1980,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,76
Bangladesh,BGD,1975,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,86.3
Bangladesh,BGD,1970,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,84.13
Bangladesh,BGD,2010,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,16253
Bangladesh,BGD,2005,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,14896
Bangladesh,BGD,2000,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,14057
Bangladesh,BGD,1995,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,12316
Bangladesh,BGD,1990,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,11254
Bangladesh,BGD,1985,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,10174
Bangladesh,BGD,1980,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,9051
Bangladesh,BGD,1975,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,7784
Bangladesh,BGD,1970,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,6750
Bangladesh,BGD,2010,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,7945
Bangladesh,BGD,2005,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,7251
Bangladesh,BGD,2000,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,6824
Bangladesh,BGD,1995,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,5967
Bangladesh,BGD,1990,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,5436
Bangladesh,BGD,1985,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,4924
Bangladesh,BGD,1980,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,4363
Bangladesh,BGD,1975,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,3737
Bangladesh,BGD,1970,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,3231
Bangladesh,BGD,2010,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,103588
Bangladesh,BGD,2005,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,91504
Bangladesh,BGD,2000,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,80538
Bangladesh,BGD,1995,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,70184
