admin3Name_en,admin3Pcode,ADM2_PCODE,ADM1_PCODE,ADM0_PCODE,admin3RefName,admin2Name_en,admin1Name_en,admin0Name_en,P,P00_04,P05_09,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_80,P80plus,Child,Male,Female
Burhanuddin,BD100921,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,233860,27021,34288,31772,20606,17947,18349,14731,13994,11783,9713,8836,5991,7113,3963,3819,1489,2445,109439,115033,118827
Char Fasson,BD100925,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,456437,57364,71332,61692,38136,37056,40867,30344,25175,20260,15061,14846,9794,12710,6688,7204,2664,5244,222816,228693,227744
Daulatkhan,BD100929,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,168567,20254,25290,23395,15307,13466,13351,11282,9558,8273,6029,5900,3860,4917,2478,2554,972,1681,81089,83369,85198
Lalmohan,BD100954,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,283889,34577,43752,36960,22910,22425,24480,19273,16806,13847,10448,9772,6820,8590,4536,4347,1550,2796,131031,138877,145012
Manpura,BD100965,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,76582,10022,12044,9669,6073,6526,7563,5833,4743,2960,2296,2090,1508,1964,1055,1062,389,785,37236,38746,37836
Tazumuddin,BD100991,BD1009,BD10,BD,<Null>,Bhola,Barisal,Bangladesh,126940,14589,18685,15455,10316,10347,11765,9468,8232,6610,4781,4420,2934,3494,1996,1972,725,1151,59077,65139,61801
Jhalokati Sadar,BD104240,BD1042,BD10,BD,<Null>,Jhalokati,Barisal,Bangladesh,216357,18291,25362,27202,19911,17099,17419,14898,14501,13232,11047,9488,6354,7404,4356,4446,2000,3347,89496,105472,110885
Kanthalia,BD104243,BD1042,BD10,BD,<Null>,Jhalokati,Barisal,Bangladesh,124284,11868,15183,15599,10061,8692,9158,8508,8054,7877,6350,5925,3776,4876,2456,2765,986,2150,51377,60520,63764
Nalchity,BD104273,BD1042,BD10,BD,<Null>,Jhalokati,Barisal,Bangladesh,193525,17982,25374,26587,17196,14087,14266,12564,11792,11253,9281,8335,5558,6463,3981,4093,1628,3085,83147,92114,101411
Rajapur,BD104284,BD1042,BD10,BD,<Null>,Jhalokati,Barisal,Bangladesh,148503,15141,19733,19955,12619,10195,10401,9340,9458,8690,7176,6402,4409,5061,3064,3393,1298,2168,63430,71041,77462
Bauphal,BD107838,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,304284,31441,42087,38850,24355,21949,23787,20373,19478,16890,14330,13346,8790,10681,5933,5917,2182,3895,127532,144545,159739
Dashmina,BD107852,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,123388,13519,17583,15238,8798,8977,10643,8823,8024,7015,5531,5633,3312,4121,1982,2098,750,1341,52040,60241,63147
Dumki,BD107855,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,70655,7231,9341,8968,6050,5503,5260,4600,4496,4106,3339,3122,2076,2384,1317,1362,526,974,28431,33802,36853
Galachipa,BD107857,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,361518,40591,50949,43870,26190,28178,33298,26999,23095,18497,14907,14078,9566,11454,6308,6189,2450,4899,151093,179652,181866
Kala Para,BD107866,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,237831,25470,31438,27573,16440,19925,23625,19960,16991,12852,9638,8446,5716,6941,3639,3984,1633,3560,94614,120514,117317
Mirzaganj,BD107876,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,121716,11231,14786,15105,10045,8711,9294,8530,8040,7684,5981,6020,3639,4798,2288,2710,964,1890,48620,59292,62424
Patuakhali Sadar,BD107895,BD1078,BD10,BD,<Null>,Patuakhali,Barisal,Bangladesh,316462,30691,40125,39372,27169,24730,26560,22147,20843,18235,15224,13878,9009,10683,5476,5761,2135,4424,125860,155395,161067
Bhandaria,BD107914,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,148159,15151,19183,19270,12628,10940,11411,9825,9511,8466,7126,6263,4203,4971,2772,2993,1242,2204,62540,72308,75851
Kawkhali,BD107947,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,70130,6126,8195,8435,6260,5539,5800,4848,4711,4241,3662,3090,2238,2300,1514,1495,685,991,29043,34893,35237
Mathbaria,BD107958,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,262841,25776,32443,29875,19922,21532,22937,19134,16929,15625,12917,11839,7862,9183,5103,5434,2199,4131,106271,128845,133996
Nazirpur,BD107976,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,180408,17737,22713,21764,15540,14136,14428,12029,11723,10368,8876,7471,5673,6179,3925,3472,1714,2660,78566,89711,90697
Pirojpur Sadar,BD107980,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,163470,15250,19454,19743,14226,13018,13553,11710,11146,9874,8249,6779,4980,5064,3503,3187,1540,2194,66038,80704,82766
Nesarabad (Swarupkati),BD107987,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,211032,18947,23143,25769,19801,17412,16709,14456,14115,12903,10803,9088,6573,6923,4482,4266,2200,3442,85696,103820,107212
Zianagar,BD107990,BD1079,BD10,BD,<Null>,Pirojpur,Barisal,Bangladesh,77217,8180,10667,10097,6340,5583,5869,5191,4934,4189,3657,3180,2040,2506,1445,1564,621,1154,32502,37947,39270
Alikadam,BD200304,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,49317,7271,7918,6078,4357,4382,4296,3142,2989,2350,1697,1573,943,1009,382,462,168,300,24812,25650,23667
Bandarban Sadar,BD200314,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,88282,9396,11091,10151,8449,8461,8728,6846,6073,4924,4013,3313,2085,1982,883,913,415,559,35091,47687,40595
Lama,BD200351,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,108995,14589,17104,13593,9283,9689,10075,7273,6601,5231,3993,3454,2083,2413,1089,1266,460,799,51984,56610,52385
Naikhongchhari,BD200373,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,61788,9445,9859,7839,5170,5324,5596,4088,3456,2806,2208,1905,1126,1175,607,602,232,350,31506,31347,30441
Rowangchhari,BD200389,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,27264,3090,3759,2627,2044,2515,2544,2073,1925,1462,1338,1140,829,754,398,408,173,185,12100,14243,13021
Ruma,BD200391,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,29098,3723,4250,3081,2519,2576,2502,2057,1882,1671,1326,1171,788,717,324,265,93,153,14492,15469,13629
Thanchi,BD200395,BD2003,BD20,BD,<Null>,Bandarban,Chittagong,Bangladesh,23591,3734,3934,2258,1587,1778,2135,1742,1472,1157,931,991,632,576,251,230,80,103,11324,12344,11247
Akhaura,BD201202,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,145215,18182,21654,19324,13969,12407,11488,8699,7744,7104,5518,5425,2997,3922,1906,2283,815,1778,67490,70110,75105
Banchharampur,BD201204,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,298430,37104,45426,36418,25207,25265,23069,17491,15978,14726,11951,11796,7601,9680,5035,5847,1963,3873,129821,139118,159312
Bijoynagar,BD201207,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,257247,35784,40781,32331,22261,20662,19582,14826,13729,12617,9530,9101,5407,6818,3641,4578,1889,3710,121844,125595,131652
Brahmanbaria Sadar,BD201213,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,521994,69649,80553,68210,49015,45152,41907,32368,27989,25338,18422,17451,10100,12968,6380,7783,2630,6079,253808,258503,263491
Ashuganj,BD201233,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,180654,25410,29039,23741,16250,14513,13837,10836,9593,8933,6474,6251,3443,4440,2183,2691,875,2145,88745,88340,92314
Kasba,BD201263,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,319221,40775,49119,43589,31207,25869,24367,17867,16258,15324,12011,11277,6833,8831,4396,5231,2009,4258,150821,151852,167369
Nabinagar,BD201285,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,493518,67803,81067,65167,42492,37593,36018,27939,25366,23924,18139,18054,10392,14176,6998,8765,3133,6492,235018,230227,263291
Nasirnagar,BD201290,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,309011,47156,52083,36850,24268,22789,23084,18434,17235,15183,11560,11099,6058,8398,4030,5278,1761,3745,155287,150577,158434
Sarail,BD201294,BD2012,BD20,BD,<Null>,Brahamanbaria,Chittagong,Bangladesh,315208,48479,54270,38596,26039,24508,22973,18372,16474,14797,11000,10750,6116,8222,4001,5019,1786,3806,159660,152389,162819
Chandpur Sadar,BD201322,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,465919,49885,60055,60523,46230,40578,38546,30045,27989,24849,19815,17444,11394,13435,7425,8237,3193,6276,209569,226959,238960
Faridganj,BD201345,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,396683,43195,52157,52569,40420,33349,30837,23027,22171,19753,16120,15078,9718,13007,6985,8181,3149,6967,181253,182360,214323
Haim Char,BD201347,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,109575,12211,16028,14904,9734,7942,8301,6930,6698,5765,4486,4341,2529,3568,1688,2156,725,1569,53066,53651,55924
Hajiganj,BD201349,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,330477,35956,43743,43569,35142,29421,27335,20239,18806,16226,13143,11745,7536,9636,5358,5839,2330,4453,151929,156944,173533
Kachua,BD201358,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,382139,43947,54468,51120,37824,32912,30425,22246,21308,18164,15198,13596,8577,11003,5845,7067,2670,5769,177041,180736,201403
Matlab Dakshin,BD201376,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,210050,22961,27357,25959,19134,17068,16259,13139,12589,11473,9992,8790,5882,6728,3898,4103,1784,2934,91498,97728,112322
Matlab Uttar,BD201379,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,292057,28704,35476,35879,26784,24453,22696,18647,18040,16602,13913,13067,7949,10208,5800,6477,2672,4690,127807,140753,151304
Shahrasti,BD201395,BD2013,BD20,BD,<Null>,Chandpur,Chittagong,Bangladesh,229118,25439,30159,29031,23667,20948,18650,13649,13021,11371,9083,8333,5206,6740,3574,4469,1738,4040,102518,106700,122418
Anowara,BD201504,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,259022,29057,36979,35296,26385,22652,20890,16470,15363,12918,10381,8891,5997,6723,3460,3753,1311,2496,124592,126709,132313
Bayejid Bostami,BD201506,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,211355,19897,21747,21851,25001,28994,25715,17275,14814,11047,7503,5942,3339,3553,1501,1620,598,958,83188,110291,101064
Banshkhali,BD201508,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,431162,58024,70857,60349,38531,32642,33373,26148,24597,19897,15244,14670,9403,10501,5339,5721,2181,3685,226470,212011,219151
Bakalia,BD201510,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,262703,25663,29245,29556,30335,32355,29151,21330,17648,14053,9767,8231,4752,4777,2029,2037,644,1130,111803,138914,123789
Boalkhali,BD201512,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,223125,21068,25662,26873,24572,22876,19747,15456,14071,12057,10171,8354,5790,6116,3329,3357,1345,2281,97852,109273,113852
Chandanaish,BD201518,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,233017,25478,30151,30074,25223,21771,19615,15631,14247,11741,9445,8241,5238,6074,3023,3437,1226,2402,111013,117418,115599
Chandgaon,BD201519,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,256411,22390,24607,26340,31264,36138,31068,20733,17475,13483,9461,7706,4534,4891,2112,2181,697,1331,100824,132054,124357
Chittagong Port,BD201520,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,208260,16214,17435,17839,25609,34368,30020,18894,14790,10850,7322,5485,2999,2905,1102,1247,439,742,70259,105919,102341
Double Mooring,BD201528,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,361154,30219,34498,36428,39974,45648,43427,31721,27238,21672,15812,12618,7241,6867,2848,2618,912,1413,139496,194234,166920
Fatikchhari,BD201533,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,526003,56310,70482,70555,55395,49168,44568,33510,30911,26253,20807,18068,11976,13744,7257,8131,2958,5910,243948,259730,266273
Halishahar,BD201535,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,151515,13924,15925,16036,15911,17478,16980,13210,10984,8737,6290,5184,3242,3269,1521,1465,559,800,62768,78008,73507
Hathazari,BD201537,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,431748,41789,50252,54683,50675,50891,39644,28592,25710,21145,16947,14198,9654,10272,5302,5728,2245,4021,189381,215201,216547
Kotwali,BD201541,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,319972,21419,25920,31850,35002,38587,35330,27737,24822,21266,17060,13597,9122,7496,4047,3271,1439,2007,115349,176462,143510
Khulshi,BD201543,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,278623,24557,28086,29478,30540,35593,33308,23412,20368,15802,11607,9182,5422,5211,2143,2061,698,1155,108976,148536,130087
Lohagara,BD201547,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,279913,33822,40598,40059,29140,23393,22382,16956,15929,12769,10391,9313,5829,7014,3629,4194,1534,2961,134245,135717,144196
Mirsharai,BD201553,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,398716,40391,47617,48789,42898,37402,33436,25549,23471,21223,16806,15575,10335,12470,6606,7376,2794,5978,169142,187323,211393
Pahartali,BD201555,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,190637,17645,19292,19038,21091,23972,22979,16342,13600,10736,7686,6312,3626,3667,1651,1582,537,881,77090,98579,92058
Panchlaish,BD201557,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,219132,19180,21883,24064,26322,27763,24785,17698,15308,12230,9114,7005,4536,4025,1988,1610,668,953,82021,115103,104029
Patiya,BD201561,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,528120,52301,63271,66642,58616,55132,47524,35987,32712,27431,21854,18671,12373,13443,6789,7537,2696,5141,243613,266153,261967
Patenga,BD201565,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,132677,12186,13527,12899,14933,18669,17106,11510,9414,6877,4772,3838,2201,2053,803,942,289,658,53086,69752,62925
Rangunia,BD201570,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,339004,34402,42858,43896,36357,31843,29224,23211,21167,17808,13851,12454,7727,8986,4455,5326,1898,3541,150262,168412,170592
Raozan,BD201574,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,322840,30472,36602,39619,36630,32216,28445,21681,20302,16988,13809,12217,8266,9176,5007,5504,2092,3814,134980,156255,166585
Sandwip,BD201578,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,278605,32303,39354,36470,28005,25088,22216,16475,15333,13444,10110,10198,6128,8631,4113,5141,1828,3768,126106,128656,149949
Satkania,BD201582,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,384806,46369,55078,53825,40104,32583,30080,23096,22210,18174,14631,13344,8670,9921,5197,5396,2110,4018,180080,186007,198799
Sitakunda,BD201586,BD2015,BD20,BD,<Null>,Chittagong,Chittagong,Bangladesh,387832,36272,42030,44362,43245,43144,39180,28413,25831,21528,16383,13698,8674,9557,4614,5055,1892,3954,167259,202137,185695
Barura,BD201909,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,405118,45143,55889,53145,39056,35053,33204,23975,22563,19911,16447,14601,9488,11977,6801,7683,3248,6934,178192,190309,214809
Brahman Para,BD201915,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,204691,25726,32703,28718,19586,15484,14769,11204,10622,9854,7666,7446,4224,5886,2904,3805,1323,2771,96479,97434,107257
Burichang,BD201918,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,301825,34447,41977,39737,30952,26585,25429,18245,16912,15011,12273,10680,6620,7989,4307,4845,1943,3873,136544,145982,155843
Chandina,BD201927,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,350273,41590,50775,45709,31897,30435,29262,20796,20004,17237,14506,12668,8124,9504,5397,5700,2321,4348,158245,165874,184399
Chauddagram,BD201931,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,443648,50424,59581,58270,47567,40079,36088,25770,23131,21589,16765,16028,9743,13161,6769,8387,3066,7230,199908,208148,235500
Comilla Sadar Dakshin,BD201933,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,427391,46514,56412,53634,44539,40727,37546,27503,24392,21371,16805,14858,9212,11604,5989,7087,2771,6427,184851,207967,219424
Daudkandi,BD201936,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,349910,40014,46807,41625,33683,32079,30256,22224,20631,18005,14522,12916,8718,9964,5899,5908,2582,4077,153193,169109,180801
Debidwar,BD201940,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,431352,53321,65647,58435,40393,34766,33394,24592,23081,21097,17433,15654,9951,11673,6444,7126,2994,5351,194887,204207,227145
Homna,BD201954,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,206386,24206,30807,26367,18927,17683,16244,12476,11278,10378,7881,7786,4872,6476,3306,3847,1373,2479,95931,100245,106141
Comilla Adarsha Sadar,BD201967,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,532419,51899,62786,62804,55171,55991,52142,39360,35591,29762,23014,18910,11710,12426,6874,6515,2700,4764,215414,270169,262250
Laksam,BD201972,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,294719,33386,42369,39326,29678,26400,24668,17944,15838,14398,11071,10028,6235,7937,4115,4886,1948,4492,134335,140641,154078
Manoharganj,BD201974,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,244943,29632,37399,34884,25088,20717,18824,13348,12412,11071,8706,7800,5273,6520,3558,4111,1737,3863,115955,112339,132604
Meghna,BD201975,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,112453,12385,15431,13207,9488,10146,9957,7540,7000,6001,4581,4401,2773,3358,1871,2115,874,1325,51089,56453,56000
Muradnagar,BD201981,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,523556,65035,79310,71335,49572,42400,40206,29938,27988,25453,19665,19157,11902,14881,7894,8877,3522,6421,242223,247591,275965
Nangalkot,BD201987,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,373987,44832,57180,51465,36043,31021,29877,20898,19232,17180,13463,12785,7873,10896,5519,6690,2588,6445,172330,171450,202537
Titas,BD201994,BD2019,BD20,BD,<Null>,Comilla,Chittagong,Bangladesh,184617,21483,26167,23943,17844,16186,14653,10632,9829,8777,6968,7091,4429,5925,3094,3652,1378,2566,83294,87100,97517
Chakaria,BD202216,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,474465,59962,74554,68556,47746,43279,40746,29146,25931,19841,16110,14029,8947,9390,4907,5571,2046,3704,248738,239198,235267
Cox's Bazar Sadar,BD202224,BD2022,BD20,BD,Coxs Bazar Sadar,Cox's Bazar,Chittagong,Bangladesh,459082,56254,63793,60425,50858,48626,44586,31273,26305,20005,15073,13103,7387,8609,3748,4603,1516,2918,220802,241637,217445
Kutubdia,BD202245,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,125279,15679,21322,18310,11502,9812,10297,8034,7109,5606,4118,4106,2335,2824,1310,1567,468,880,67767,64093,61186
Maheshkhali,BD202249,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,321218,42855,51331,43733,32739,30955,27750,19986,16410,13182,9798,9258,5473,6894,3563,3735,1304,2252,177634,165693,155525
Pekua,BD202256,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,171538,23607,29733,25091,15612,14144,14007,10366,9360,6940,5191,4883,3091,3473,1977,2004,792,1267,91373,86310,85228
Ramu,BD202266,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,266640,36854,41677,37257,27409,24337,22401,15780,13943,11252,8903,8090,4761,5491,2500,2943,1060,1982,140865,135000,131640
Teknaf,BD202290,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,264389,40354,45521,35757,26822,24812,23000,15745,12831,10132,7373,6666,4014,4656,2064,2292,793,1557,145983,133106,131283
Ukhia,BD202294,BD2022,BD20,BD,<Null>,Cox's Bazar,Chittagong,Bangladesh,207379,29256,33644,29292,20560,18559,18034,12841,10518,8586,6578,5956,3375,3987,1979,2114,751,1349,108801,104567,102812
Chhagalnaiya,BD203014,BD2030,BD20,BD,<Null>,Feni,Chittagong,Bangladesh,187156,19681,22223,22849,21007,18002,15998,11480,10033,9479,7676,7249,4452,6010,2980,3560,1417,3060,82217,89494,97662
Daganbhuiyan,BD203025,BD2030,BD20,BD,<Null>,Feni,Chittagong,Bangladesh,254402,27303,32452,32833,28042,23238,21203,15406,14352,11996,10037,9158,5846,7656,4148,4848,1953,3931,107386,118752,135650
Feni Sadar,BD203029,BD2030,BD20,BD,<Null>,Feni,Chittagong,Bangladesh,512646,52628,60833,64415,58280,50805,46291,34212,30521,26013,20194,18044,11396,14098,7163,8173,2959,6621,219684,254751,257895
Fulgazi,BD203041,BD2030,BD20,BD,<Null>,Feni,Chittagong,Bangladesh,119558,12160,14066,14062,12618,11785,10696,7974,6846,6185,4958,4737,3013,3732,2031,2149,808,1738,52905,59497,60061
Parshuram,BD203051,BD2030,BD20,BD,<Null>,Feni,Chittagong,Bangladesh,101062,11075,13527,12926,10711,8919,8068,6039,5469,5010,4011,3991,2493,3106,1724,1767,744,1482,43698,47981,53081
Sonagazi,BD203094,BD2030,BD20,BD,<Null>,Feni,Chittagong,Bangladesh,262547,28934,35058,34971,28350,24042,21438,15365,14246,11915,9936,9454,5994,8039,4330,4840,1749,3886,115858,123653,138894
Dighinala,BD204643,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,103392,10906,14463,13169,8752,7998,9412,7432,7225,5652,4664,3514,2623,2540,1666,1595,747,1034,45702,53054,50338
Khagrachhari Sadar,BD204649,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,111833,11317,14025,13171,10857,9463,10516,8760,8328,6477,5487,4096,2717,2444,1422,1317,578,858,47097,58366,53467
Lakshmichhari,BD204661,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,25994,3001,3795,3010,2005,2334,2517,1953,1860,1376,1108,899,641,523,362,292,125,193,11627,13384,12610
Mahalchhari,BD204665,BD2046,BD20,BD,<Null>,Khagrachhari,Chittagong,Bangladesh,50757,5603,6963,5883,4189,4359,4818,3833,3663,2627,2504,1899,1335,1107,745,570,301,358,21877,26359,24398
